A járás neve;A személyi jövedelemadót fizetők száma;Személyi jövedelemadó, ezer forint
;;
I. kerület;12 418;7 666 648
II. kerület;38 963;30 735 952
III. kerület;61 984;30 044 458
IV. kerület;51 055;19 518 750
V. kerület;11 637;7 629 593
VI. kerület;16 450;8 136 334
VII. kerület;24 704;9 668 228
VIII. kerület;32 951;11 430 373
IX. kerület;26 053;11 656 771
X. kerület;35 941;11 982 432
XI. kerület;62 668;34 036 693
XII. kerület;26 092;20 015 435
XIII. kerület;55 259;26 541 146
XIV. kerület;54 160;26 347 616
XV. kerület;39 087;13 184 386
XVI. kerület;34 569;16 726 079
XVII. kerület;43 966;16 305 428
XVIII. kerület;49 014;18 363 158
XIX. kerület;28 925;10 482 027
XX. kerület;30 865;10 365 568
XXI. kerület;37 450;12 341 774
XXII. kerület;26 157;11 563 442
XXIII. kerület;11 198;3 723 275
Összesen;811 566;368 465 566
;;
Aszódi;18 607;5 127 856
Budakeszi;43 792;21 682 866
Ceglédi;43 867;11 255 727
Dabasi;24 931;6 700 251
Dunakeszi;42 148;18 254 829
Érdi;60 934;24 069 856
Gödöllői;71 417;26 300 639
Gyáli;21 074;5 904 840
Monori;34 005;9 314 530
Nagykátai;35 968;8 878 335
Nagykőrösi;13 385;3 366 748
Pilisvörösvári;26 233;11 236 432
Ráckevei;17 638;4 629 413
Szentendrei;39 713;16 260 176
Szigetszentmiklósi;57 763;19 208 969
Szobi;11 670;3 485 176
Váci;33 643;10 800 249
Vecsési;24 809;8 010 698
Összesen;621 597;214 487 590
;;
Összesen;1 433 163;582 953 156
;;
Bicskei;18 357;6 258 996
Dunaújvárosi;50 131;15 934 182
Enyingi;11 211;2 570 468
Gárdonyi;16 336;5 717 887
Martonvásári;13 803;3 936 253
Móri;18 833;6 294 362
Sárbogárdi;14 599;3 574 274
Székesfehérvári;82 909;30 098 869
Összesen;226 179;74 385 291
;;
Esztergomi;47 943;15 345 045
Kisbéri;11 321;3 382 756
Komáromi;21 773;7 081 686
Oroszlányi;13 984;4 762 531
Tatabányai;46 295;15 090 909
Tatai;20 461;7 248 062
Összesen;161 777;52 910 989
;;
Ajkai;20 962;5 996 888
Balatonalmádi;13 308;4 170 914
Balatonfüredi;13 486;4 453 818
Devecseri;7 961;1 888 035
Pápai;30 843;8 562 999
Sümegi;8 111;1 825 443
Tapolcai;17 944;4 574 630
Várpalotai;20 041;5 653 661
Veszprémi;43 691;14 673 611
Zirci;10 462;2 928 952
Összesen;186 809;54 728 951
;;
Összesen;574 765;182 025 231
;;
Csornai;18 075;5 120 134
Győri;99 865;39 094 878
Kapuvári;13 046;3 285 942
Mosonmagyaróvári;38 012;10 627 059
Pannonhalmi;8 281;2 511 725
Soproni;47 863;12 547 071
Téti;7 911;2 339 531
Összesen;233 053;75 526 340
;;
Celldömölki;13 224;3 673 475
Körmendi;14 252;4 126 014
Kőszegi;12 614;3 396 905
Sárvári;21 372;6 517 321
Szentgotthárdi;7 299;2 129 043
Szombathelyi;59 865;20 037 811
Vasvári;7 447;1 936 573
